Size_MB,CPU_Node,Pattern,IPC_mean,IPC_std,Cache_Refs_mean,Cache_Refs_std,Cache_Misses_mean,Cache_Misses_std,Lat_ns_mean,Lat_ns_std
762.9,5,Sequential,2.073596256712365,0.010701503905345943,84644572.66666667,522500.4887017385,1050756.0,1591.6509248785258,56192080.666666664,380452.3215299856
762.9,6,Sequential,2.080126122996362,0.019840414530681798,84752267.66666667,219186.44572803512,1051323.3333333333,1995.0375657838852,56464160.333333336,573057.2321355772
762.9,7,Sequential,2.0657266297846895,0.019319939928657968,84871635.33333333,131371.32314507946,1051509.6666666667,1160.6094184617934,56372398.0,236632.2457147377
762.9,0,Random,0.47412976288928316,0.011545617821351127,650670463.6666666,981958.1112078504,260364858.66666666,23221.693310829472,2200730903.3333335,54992132.24618465
762.9,1,Random,0.48491097512874903,0.0012235527051204674,649934966.0,935455.4193699808,260315385.0,21528.140158096954,2149544422.0,5391897.36596763
762.9,2,Random,0.46713346617981094,0.0009702517618769998,649440311.0,823164.6981999815,260343488.33333334,43501.04228891789,2232769833.3333335,4117363.6602920513
762.9,3,Random,0.46795942621467784,0.0013310592849141455,649170449.6666666,1798095.3118001157,260435674.33333334,62283.4658976379,2228387468.6666665,6010036.576770413
762.9,4,Random,0.4553940789308282,0.0012972198754191847,648474127.3333334,1133881.6134312944,260419697.33333334,97509.3087259992,2290248301.6666665,6836633.422113369
762.9,5,Random,0.45760450498956534,0.0008425421450523824,647701935.6666666,540736.5975410044,260342659.0,19134.73349696828,2279060682.0,4700968.827085398
762.9,6,Random,0.4546834684287655,0.0017965732726103007,647942985.0,1115157.9183568577,260473345.66666666,31045.885656914706,2294054234.0,9253097.806886334
762.9,7,Random,0.4578456313380346,0.0019838080282007764,647720824.0,1225436.1773069485,260564210.33333334,49571.612564271316,2277292603.6666665,9279365.88888071
